Format, Trivinci Systems LLC, V2
Device type, Road-Keeper dual 1080p
Starting Date, 20/5/2023
Starting Time, 16:29:17
sample rate (samps/sec), 30
duration (secs), 276.033
GPS sample rate (Hz), 10
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap, Brake (bar)
1, 0, 0, 0, 52.388257, 4.542539, 0, 0, 0, 0, 0, 0, 0, 39, 67.250000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388257, 4.542539, 0, 0, 0, 0, 0, 0, 0, 39, 67.250000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388257, 4.542539, 0, 0, 0, 0, 0, 0, 0, 39, 67.250000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388257, 4.542563, 0, 0, 0, 0, 0, 0, 0, 39, 67.309998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388257, 4.542563, 0, 0, 0, 0, 0, 0, 0, 39, 67.309998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388257, 4.542563, 0, 0, 0, 0, 0, 0, 0, 39, 67.309998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388265, 4.542587, 0, 0, 0, 0, 0, 0, 0, 39, 67.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388265, 4.542587, 0, 0, 0, 0, 0, 0, 0, 39, 67.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388265, 4.542587, 0, 0, 0, 0, 0, 0, 0, 39, 67.669998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388273, 4.542612, 0, 0, 0, 0, 0, 0, 0, 39, 67.559998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388273, 4.542612, 0, 0, 0, 0, 0, 0, 0, 39, 67.559998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
