GPS Reading,Lat (Degrees),Lon (Degrees),Velocity (MPH),Heading(Deg),Velocity (KPH)
1,52.390397,4.541887,1,25.66,1
0,52.390397,4.541887,1,25.66,1
0,52.390397,4.541887,1,25.66,1
1,52.390397,4.541888,0,32.139999,0
0,52.390397,4.541888,0,32.139999,0
0,52.390397,4.541888,0,32.139999,0
1,52.390389,4.541888,0,0.0,0
0,52.390389,4.541888,0,0.0,0
0,52.390389,4.541888,0,0.0,0
1,52.390389,4.541888,1,38.419998,1
0,52.390389,4.541888,1,38.419998,1
0,52.390389,4.541888,1,38.419998,1
1,52.390389,4.541889,1,33.040001,1
0,52.390389,4.541889,1,33.040001,1
0,52.390389,4.541889,1,33.040001,1
1,52.390389,4.541888,1,32.790001,1
0,52.390389,4.541888,1,32.790001,1
0,52.390389,4.541888,1,32.790001,1
1,52.390389,4.541889,0,40.59,0
0,52.390389,4.541889,0,40.59,0
0,52.390389,4.541889,0,40.59,0
1,52.390389,4.541889,1,41.68,1
0,52.390389,4.541889,1,41.68,1
0,52.390389,4.541889,1,41.68,1
1,52.390389,4.54189,1,49.779999,1
0,52.390389,4.54189,1,49.779999,1
0,52.390389,4.54189,1,49.779999,1
1,52.390389,4.541891,1,56.860001,1
0,52.390389,4.541891,1,56.860001,1
0,52.390389,4.541891,1,56.860001,1
1,52.390389,4.541891,1,58.459999,1
0,52.390389,4.541891,1,58.459999,1
0,52.390389,4.541891,1,58.459999,1
1,52.390389,4.54189,0,0.0,0
0,52.390389,4.54189,0,0.0,0
0,52.390389,4.54189,0,0.0,0
1,52.390381,4.541892,1,61.529999,1
0,52.390381,4.541892,1,61.529999,1
0,52.390381,4.541892,1,61.529999,1
1,52.390381,4.541894,1,62.189999,1
0,52.390381,4.541894,1,62.189999,1
0,52.390381,4.541894,1,62.189999,1
1,52.390381,4.541894,1,0.0,1
0,52.390381,4.541894,1,0.0,1
0,52.390381,4.541894,1,0.0,1
